,,human_gene1_expanded
0.0410655,,15.8988
0.0414312,,15.0659
0.100282,,14.8733
0.0398324,,14.7228
0.0423512,,17.5374
0.0419302,,14.5991
0.0438259,,14.5842
0.0403821,,14.5449
0.0422781,,14.6496
0.0443466,,14.8781
0.0527568,,14.8165
0.0423763,,14.656
0.04445,,14.7256
0.0957711,,14.8577
0.0510662,,14.8177
0.0447938,,14.6416
0.0378594,,14.5922
0.0412567,,14.6777
0.0443463,,14.5692
0.0372069,,14.5692
,,
,,
,,
0.0392954,,14.8215
0.0418584,,15.0292
0.0366585,,14.5711
0.0376747,,15.5013
0.0610497,,15.0849
0.0412261,,14.5285
0.0336831,,14.5073
0.0329485,,14.7674
0.0377831,,15.0792
0.0409927,,15.0252
0.0335534,,14.8997
0.0323293,,14.7961
0.0362883,,15.8061
0.0402992,,15.1447
0.0406098,,14.7454
0.0315456,,15.0141
0.0319638,,14.4655
0.0376327,,14.6476
0.0395823,,14.591
0.0324316,,14.7655
,,
,,
,,
0.031014,,14.6263
0.0326345,,14.7182
0.0358081,,14.5769
0.027729,,14.4954
0.0320191,,15.2328
0.0328054,,14.4874
0.0338252,,15.0019
0.0574639,,14.9556
0.0314884,,15.4245
0.0329711,,14.5823
0.0349586,,14.8544
0.0359838,,14.5857
0.027667,,15.0313
0.0285084,,14.493
0.0321989,,14.6184
0.0340266,,14.5192
0.0355477,,15.0304
0.0265703,,14.7004
0.0279744,,14.5539
0.0319283,,14.5884
,,
,,
,,
0.0322659,,14.6951
0.027945,,14.6487
0.029289,,14.5114
0.0319254,,14.53
0.0246603,,15.448
0.0255463,,14.9827
0.0276749,,14.9926
0.0289769,,14.7153
0.0310869,,14.8364
0.0325284,,14.5291
0.0249124,,14.8391
0.0296144,,14.6404
0.0314376,,14.8946
0.0330014,,14.9805
0.0249207,,14.9179
0.0282815,,14.597
0.0291088,,14.4935
0.0426631,,14.8393
0.0240152,,15.2359
0.0280035,,14.4287
,,
,,
,,
0.0267034,,14.6452
0.0280793,,14.8062
0.0295885,,14.5296
0.0225306,,14.479
0.0261204,,14.8451
0.0271056,,14.7886
0.0289171,,14.4946
0.0221181,,14.5165
0.0257545,,14.575
0.0381513,,14.8567
0.0300443,,14.5366
0.0223973,,14.7664
0.0235548,,14.8033
0.0264871,,14.9215
0.0286493,,14.5053
0.0296948,,14.5376
0.0225525,,14.4914
0.0255055,,14.6024
0.0381341,,15.014
0.0283062,,14.8436
,,
,,
,,
0.0265622,,14.7486
0.0206544,,14.8544
0.0240185,,14.6209
0.0207493,,14.8192
0.0275934,,14.5269
0.0203857,,14.5386
0.0239239,,15.078
0.0251243,,14.4856
0.027653,,14.8512
0.0211117,,14.6829
0.0242445,,14.9628
0.0244014,,14.7716
0.0262322,,14.6693
0.0272694,,15.0371
0.0237682,,14.6421
0.0296035,,15.2164
0.0270095,,14.7856
0.0205824,,14.8216
0.0240409,,14.6435
0.0257459,,14.4962
,,
,,
,,
0.0252767,,14.5824
0.0192583,,14.5568
0.0229573,,14.9818
0.0243754,,14.5588
0.0249593,,14.8877
0.0254564,,14.4642
0.0194788,,14.8411
0.0233748,,14.6878
0.0239055,,14.5914
0.0255139,,14.5442
0.0189824,,14.4613
0.0192096,,14.6201
0.0238855,,14.946
0.0246344,,15.2203
0.0256257,,14.5148
0.0183139,,14.9943
0.0228422,,15.602
0.0249496,,14.7584
0.0188386,,14.8629
0.0188446,,14.4989
,,
,,
,,
0.0216186,,14.8261
0.0231116,,14.5305
0.023927,,14.5419
0.0174468,,14.7959
0.0214422,,14.5385
0.0215876,,14.4913
0.023056,,14.7132
0.0176563,,14.9883
0.0183036,,14.9416
0.0217717,,14.6563
0.0300493,,14.9056
0.0240574,,15.2341
